订单号,下单时间,收货人,收货电话,收货地址,商品货号,商品颜色,商品尺码,状态,备注
202606012123092976,2026-06-01 21:23:09,雷霆嘎巴,13838386666,北京市朝阳区酒仙桥52-10,A007,香槟色,M,已发货,
202606012146482174,2026-06-01 21:46:48,雷霆嘎巴,13866668888,郑州市新区,A005,深蓝色,L,已发货,
202606012203188797,2026-06-01 22:03:18,樱桃小丸子,13766667777,北京市朝阳区望京29-5-520,A010,酒红色,均码,已发货,
202606012216244791,2026-06-01 22:16:24,atom,13877778888,郑州市管城区五洲小区,A003,浅粉色,均码,已发货,
202606012224231380,2026-06-01 22:24:23,noyo,13288883333,天津市河东区52-20,A002,米白碎花,M,已发货,
202606012224231380,2026-06-01 22:24:23,noyo,13288883333,天津市河东区52-20,A010,酒红色,均码,已发货,
20260602203344133344595,2026-06-02 20:33:44,晴天小丸子,13866775555,北京市朝阳区酒仙桥25-10,A001,黑色,S,待发货,
20260602203344133344595,2026-06-02 20:33:44,晴天小丸子,13866775555,北京市朝阳区酒仙桥25-10,A010,酒红色,均码,待发货,
20260602204015454191122,2026-06-02 20:40:15,晴天,13888888888,北京市朝阳区酒仙桥52-10,A001,黑色,S,待发货,
20260602204015454191122,2026-06-02 20:40:15,晴天,13888888888,北京市朝阳区酒仙桥52-10,A010,酒红色,均码,待发货,
20260602204654342736142,2026-06-02 20:46:54,晴天小猪,13333333333,北京市朝阳区酒仙桥52-10,A001,黑色,S,待发货,
20260602204654342736142,2026-06-02 20:46:54,晴天小猪,13333333333,北京市朝阳区酒仙桥52-10,A010,酒红色,均码,待发货,
20260602205404332290997,2026-06-02 20:54:04,晴天小猪,13888888888,北京市朝阳区酒仙桥55-22,A001,黑色,S,待发货,
20260602205404332290997,2026-06-02 20:54:04,晴天小猪,13888888888,北京市朝阳区酒仙桥55-22,A010,酒红色,均码,待发货,
